0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
＃,＃,＃,＃,＃,2,＃,＃,＃,＃,＃,＃,＃,＃,＃
1.0,＃,＃,＃,2,＃,＃,1,＃,＃,＃,＃,＃,＃,2
2.0,2.0,＃,＃,＃,＃,＃,＃,1,1,＃,＃,5,＃,＃
＃,＃,＃,＃,＃,1,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,2,4,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,4,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,4,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,2,＃,＃,1,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,2,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,6,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,2,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,6,＃,＃,＃
＃,＃,＃,2,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,6,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,1,＃,＃,＃
